Gate / Phase,Feature Code,Feature Name,Core Domain,Operational Focus (الأثر التشغيلي ودعم اتخاذ القرار),Mathematical Rigor (الأساس الرياضي وجودة الأرقام),Priority,Proposed Implementation Phase
Gate 1 (Advanced Scope),SC-06,Automated As-Built BOQ Reconciliation & Waste Ledger,Scope Control,المطابقة التلقائية بين حصر المخططات التعاقدية والحصر الفعلي المنفذ وحساب نسبة الهالك بدقة,Waste% = (PurchasedQty - CertifiedInstalledQty) / PurchasedQty,P0 (Critical),Phase 2 - Sprint 1
Gate 1 (Advanced Scope),SC-07,BIM 4D/5D Parametric Quantity Auto-Extraction,Scope & BIM,ربط عناصر النموذج ثلاثي الأبعاد بحسابات التحكم وعكس التغييرات الهندسية فوراً على المقايسة,1:1 Element GUID to Control Account Mapping,P1 (High),Phase 2 - Sprint 2
Gate 1 (Advanced Scope),SC-08,Contractual Scope Boundary & Creep Detector,Scope Governance,كشف تسرب النطاق (Scope Creep) وتنبيه الإدارة لأي عمل ينفذ في الموقع خارج حدود التعاقد,Boolean Scope Envelope Filter (Unmapped Site Tasks Flag),P0 (Critical),Phase 2 - Sprint 1
Gate 2 (Advanced Schedule),SCH-06,Earned Schedule (ES) & Time-Based Performance (SVt / SPIt),Schedule Analytics,استبدال مؤشر SPI التقليدي المعيب بنهاية المشروع بمؤشر الوقت الحقيقي المحسوب بالأيام,ES = C + I; SVt = ES - AT; SPIt = ES / AT,P0 (Critical),Phase 2 - Sprint 1
Gate 2 (Advanced Schedule),SCH-07,Monte Carlo Schedule Risk Analysis (P50/P80 Confidence),Schedule Risk,محاكاة احتمالية 1000 سيناريو زمني لتحديد موعد تسليم المشروع ونسبة الثقة التعاقدية,Beta/Triangular Distribution Sampling for Critical Path,P0 (Critical Decision),Phase 2 - Sprint 2
Gate 2 (Advanced Schedule),SCH-08,Resource Constrained Scheduling (RCPS Dynamic Leveling),Resource Control,إعادة جدولة الأنشطة تلقائياً عند عجز العمالة أو المعدات دون كسر تواريخ التسليم الحرجة,Heuristic Min-Slack Resource Leveling Algorithm,P1 (High),Phase 2 - Sprint 3
Gate 2 (Advanced Schedule),SCH-09,Concurrent Delay Liability Matrix (SCL Protocol),Claims & Legal,الفصل الرياضي بين تأخير المالك وتأخير المقاول المتزامنين لتفادي رفض مطالبات الـ EOT,Dynamic Net Float Absorption & True Delay Apportionment,P0 (Critical Legal),Phase 2 - Sprint 2
Gate 3 (Advanced Cost),CST-06,Inflation & Material Escalation Indexing Engine,Cost Engineering,حساب فروق الأسعار الرسمية تلقائياً (حديد وخراسانة ومحروقات) وفق معادلات فيديك الحكومية,Price Adjustment: Pn = a + b(Ln/Lo) + c(Mn/Mo),P0 (Critical Financial),Phase 2 - Sprint 1
Gate 3 (Advanced Cost),CST-07,Cash-at-Risk & Dynamic Contingency Depletion S-Curve,Risk & Reserves,مراقبة استهلاك ميزانية الطوارئ (Contingency) مقارنة بنسبة الإنجاز لحماية أرباح المقاول,Contingency Burn Rate vs Physical Progress Velocity,P1 (High),Phase 2 - Sprint 2
Gate 3 (Advanced Cost),CST-08,Equipment Ownership vs Rental Telematics Optimization,Cost Optimization,تحليل تكلفة تملك وتشغيل المعدات مقارنة بالإيجار وساعات التوقف لكبح نزيف المحروقات,Total Cost of Ownership (TCO) vs Idle Hours Fuel Drain,P1 (High),Phase 2 - Sprint 3
Gate 4 (Advanced Commercial),COM-06,Subcontractor Liability Offset & Back-Charge Engine,Subcontracts,الخصم الفوري والآلي لتكاليف إتلاف الموقع أو غرامات السلامة من مستخلص المقاول المتسبب,Net Payable = Certified Amount - Deductions - BackCharges,P0 (Critical Financial),Phase 2 - Sprint 1
Gate 4 (Advanced Commercial),COM-07,Letter of Credit (LC) & Bank Guarantee (LG) Expiry Tracker,Treasury & Banking,نظام إنذار مبكر لانتهاء خطابات الضمان المصرفية والدفعة المقدمة لتفادي التسييل المفاجئ,Days to Expiry Threshold with Multi-Tier Auto-Escalation,P0 (Critical),Phase 2 - Sprint 1
Gate 4 (Advanced Commercial),COM-08,Liquidated Damages Deficit Mitigation Engine,Commercial Defense,اقتراح خطط تسريع العمل المضغوطة ذات التكلفة الأقل مقارنة بغرامات التأخير اليومية,Acceleration Cost Delta vs Avoided Daily LD Penalty,P0 (Critical Decision),Phase 2 - Sprint 2
Gate 5 (Predictive PMO),PMO-06,Machine-Learning Project Trajectory & Distress Predictor,Executive AI,التنبؤ بتعثر المشروع قبل حدوثه بـ 60 يوماً من خلال قراءة منحنيات الإنتاجية والفواتير,Multivariate Linear Regression on EVM/Productivity Slope,P1 (Strategic),Phase 2 - Sprint 3
Gate 5 (Predictive PMO),PMO-07,Automated FIDIC Clause 20.1 Contract Notice Generator,Contract Administration,توليد خطابات المطالبة التعاقدية قانونياً خلال مهلة الـ 28 يوماً لحفظ حق المقاول المالي,Time-Locked Contract Clock with Auto-Draft Claims,P0 (Critical Legal),Phase 2 - Sprint 1
Gate 5 (Predictive PMO),PMO-08,Executive What-If Scenario Sandbox,Executive Decision,"محاكاة قرارات الإدارة (تغيير مقاول، ضخ سيولة، تقليل ساعات عمل) وقراءة أثرها الفوري",Real-Time Cross-Engine Propagation without State Mutation,P0 (Executive View),Phase 2 - Sprint 2
