Gate / Phase,Feature Code,Feature Name,Core Domain,Operational Focus (الأثر التشغيلي ودعم القرار),Mathematical Rigor (الأساس الرياضي وجودة الأرقام),Implementation Status,Priority
Gate 1 (Scope),SC-01,Unified Control Account (WBS/BOQ/CostCode/SOV),Scope & Quantities,منع البنود اليتيمة وربط المقايسة بالأكواد,Strict Foreign Key Binding Zero Orphan Records,Certified (Passed),P0 (Critical)
Gate 1 (Scope),SC-02,Multi-State Progressive Quantity Ledger,Scope & Quantities,التحكم في حركة الكميات ومنع صرف أي كمية قبل اعتماد التفتيش,ContractQty + ApprovedVO >= ExecutedQty >= CertifiedQty,Certified (Passed),P0 (Critical)
Gate 1 (Scope),SC-03,M-to-N BOQ to Schedule Allocation,Scope & Quantities,توزيع كميات البند على أنشطة متعددة في البرنامج الزمني,Sum of Weights across Activities === 100%,Certified (Passed),P1 (High)
Gate 1 (Scope),SC-04,Milestone Ladders & Rules of Credit,Scope & Quantities,تطبيق قواعد الاستحقاق المرحلي لمنع تضخيم الإنجاز,Earned Ratio = Sum(Weight * Completed),Certified (Passed),P1 (High)
Gate 1 (Scope),SC-05,WIR Ledger & Audit-Preserved Adjustments,Scope & Quantities,تسجيل خصميات التفتيش دون حذف السجلات السابقة,Immutable Append-Only Audit Trail,Certified (Passed),P1 (High)
Gate 2 (Time),SCH-01,CPM Engine & Float Isolation,Schedule & CPM,تحديد المسار الحرج الفعلي وحساب السماحية بدقة,ES/EF/LS/LF Calculations Total Float <= 0,Certified (Passed),P0 (Critical)
Gate 2 (Time),SCH-02,Project Data Date Governance,Schedule & CPM,تجميد الأنشطة السابقة لتاريخ المتابعة وإعادة جدولة المستقبل,Past frozen Future dynamic,Certified (Passed),P0 (Critical)
Gate 2 (Time),SCH-03,Fragnet Time Impact Analysis (TIA Engine),Schedule & CPM,محاكاة أحداث التأخير وإثبات ترحيل نهاية المشروع,Delta Project Finish = Schedule with Fragnet - without,Certified (Passed),P0 (Critical)
Gate 2 (Time),SCH-04,Automated EOT & LD Penalty Shield,Schedule & CPM,فصل التأخير المبرر عن غير المبرر وحساب الغرامات,LD Exposure = Unexcused Days * Daily Rate,Certified (Passed),P0 (Critical)
Gate 2 (Time),SCH-05,Tri-Linear Gantt Overlay,Schedule & CPM,مقارنة المخطط بالفعلي والتوقع المستقبلي لكشف الانحراف,Variance = Forecast - Baseline,Certified (Passed),P1 (High)
Gate 3 (Cost),CST-01,Comprehensive EVM Engine,Cost & EVM,حساب مؤشرات الأداء المالي والجدولي وفق PMI,CV=EV-AC SV=EV-PV CPI=EV/AC SPI=EV/PV,Certified (Passed),P0 (Critical)
Gate 3 (Cost),CST-02,5-Factor Cost Variance Breakdown,Cost & EVM,تفكيك عجز التكلفة إلى 5 أسباب تشغيلية (كميات وأسعار وإنتاجية),CV = Usage + Rate + Labor + Productivity + Equipment,Certified (Passed),P0 (Critical)
Gate 3 (Cost),CST-03,Multi-Method EAC & TCPI Forecasting,Cost & EVM,توقع تكلفة المشروع عند الإتمام بـ 4 طرق هندسية متوازية,EAC1=BAC/CPI EAC2=AC+(BAC-EV) TCPI=(BAC-EV)/(BAC-AC),Certified (Passed),P0 (Critical)
Gate 3 (Cost),CST-04,Time-Phased S-Curve Phasing,Cost & EVM,توزيع الميزانية زمنياً لتوليد منحنى الإنفاق وضبط السيولة,Integral across Schedule === 100% Budget,Certified (Passed),P1 (High)
Gate 3 (Cost),CST-05,Direct vs Indirect Overhead Allocation,Cost & EVM,تحميل مصاريف الموقع والمكتب الرئيسي بنسب عادلة,Fully Loaded = Direct + Indirect Pool Allocation,Certified (Passed),P1 (High)
Gate 4 (Commercial),COM-01,Subcontract Architecture & Margin,Commercial & Cash,تجميع باقات مقاولي الباطن واستخراج هامش الربح لكل بند,Gross Margin = Client Selling Rate - Subcontract Buying,Certified (Passed),P0 (Critical)
Gate 4 (Commercial),COM-02,Automated 3-Way Payment Matching,Commercial & Cash,منع صرف الفاتورة إلا بعد مطابقتها مع الشراء والاستلام الفعلي,Invoice Qty <= min(GRN Qty PO Qty),Certified (Passed),P0 (Critical)
Gate 4 (Commercial),COM-03,Potential Variation Orders (PVO),Commercial & Cash,متابعة أوامر التغيير والمطالبات دون تضخيم الميزانية المعتمدة,Approved BAC = Original + Confirmed VOs,Certified (Passed),P1 (High)
Gate 4 (Commercial),COM-04,Back-to-Back Retention & Pay-When-Paid,Commercial & Cash,احتجاز ضمان الأعمال وربط الصرف بتحصيل دفعة العميل,Disbursement Allowed = Client IPC Remitted,Certified (Passed),P0 (Critical)
Gate 4 (Commercial),COM-05,Dynamic Cash Flow & Working Capital Deficit,Commercial & Cash,توقع التدفقات النقدية وتحديد أقصى عجز مالي لتجنب التوقف,Peak Deficit = min(Cumulative Cash Flow),Certified (Passed),P0 (Critical)
Gate 5 (PMO),PMO-01,Intelligent Early Warning System (EWS),PMO & Governance,إطلاق تنبيهات ذكية فورية عند تدهور التكلفة أو المسار الحرج,Alert: CPI < 0.90 or Float < 5 Days or Cash < 1.0,Certified (Passed),P0 (Critical)
Gate 5 (PMO),PMO-02,Closed-Loop Variance Action Register (CAPA),PMO & Governance,تحويل الانحراف لمهمة تصحيحية ملزمة بمسؤول وتاريخ,State Machine: Open -> Assigned -> Remediating -> Closed,Certified (Passed),P1 (High)
Gate 5 (PMO),PMO-03,Unified Executive Cockpit,PMO & Governance,لوحة قيادة تدمج النطاق والوقت والتكلفة والسيولة بشاشة واحدة,Cross-Domain Aggregation Bus,Certified (Passed),P0 (Executive)
Gate 5 (PMO),PMO-04,One-Click Executive Monthly Report Pack (PDF),PMO & Governance,توليد التقرير الشهري الرسمي الكامل بضغطة زر,Full Data Schema Validation Consistent Page Budget,Certified (Passed),P1 (High)
Gate 5 (PMO),PMO-05,Strict Period Locking & Audit Trail,PMO & Governance,إقفال الفترات السابقة ومنع التعديل بأثر رجعي,Cryptographic Period Freeze,Certified (Passed),P0 (Audit)
Field & UX,FLD-01,Daily Site Productivity & Incident Logs,Field & Operations,توثيق العمالة والمعدات والخرسانات وساعات العمل الآمنة,Daily Hours Feed -> EVM Factor 4 Productivity,Certified (Passed),P1 (Daily)
Field & UX,UX-01,Zero-Clutter Role-Based Workspaces,User Experience,عزل واجهات العمل حسب الوظيفة بدون تشتيت,Context Isolation without Data Silos,Certified (Passed),P1 (UX)
